Country,Localite,Category,Value,Date,Sources,Link
Guinea,Dabola ,Deaths,3,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Dinguiraye ,Cases,1,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Dinguiraye ,Deaths,1,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Gueckedou,Cases,90,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Gueckedou,Deaths,63,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Kissidougou,Cases,9,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Kissidougou,Deaths,6,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Macenta,Cases,27,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,Macenta,Deaths,16,4/7/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf
Guinea,National,Cases,151,4/7/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-7-avril-2014
Guinea,National,Deaths,95,4/7/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-7-avril-2014
Liberia,National,Cases,21,4/8/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF-Liberia%20SitRep%20%2312%20Ebola%20Viral%20Disease%208%20April%202014_1.pdf
Liberia,National,Confirmed cases,5,4/8/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF-Liberia%20SitRep%20%2312%20Ebola%20Viral%20Disease%208%20April%202014_1.pdf
Liberia,National,Deaths,10,4/8/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF-Liberia%20SitRep%20%2312%20Ebola%20Viral%20Disease%208%20April%202014_1.pdf
Liberia,National,Cases,22,4/9/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep%20No.%2013%20Ebola%20Viral%20Disease%209%20April%202014_2.pdf
Liberia,National,Confirmed cases,5,4/9/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep%20No.%2013%20Ebola%20Viral%20Disease%209%20April%202014_2.pdf
Liberia,National,Deaths,12,4/9/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep%20No.%2013%20Ebola%20Viral%20Disease%209%20April%202014_2.pdf
Guinea,National,Cases,157,4/10/14,WHO,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-10-april-2014
Guinea,National,Deaths,101,4/10/14,WHO,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-10-april-2014
Liberia,Bong County,Cases,4,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Bong County,Deaths,0,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Grand Cape Mount,Cases,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Grand Cape Mount,Deaths,0,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Lofa County,Cases,10,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Lofa County,Deaths,9,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Margibi County,Cases,6,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Margibi County,Deaths,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Montserrado County,Cases,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Montserrado County,Deaths,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,National,Cases,25,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,National,Confirmed cases,5,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,National,Deaths,12,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Nimba County,Cases,3,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Liberia,Nimba County,Deaths,1,4/10/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf
Guinea,Conakry,Cases,31,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Dabola ,Cases,5,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Dinguiraye ,Cases,1,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Gueckedou,Cases,95,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Kissidougou,Cases,6,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Macenta,Cases,21,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Cases,159,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Confirmed cases,71,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Deaths,106,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
